paperId,title,abstract,year,publicationDate,authorId,authorName
27b9f7b653b79b65d78db0ceb1688a270316331a,Depicting Vocabulary Summaries with Devos,"Communicating ontologies to potential users is still a difficult and time-consuming task. Even for small ones, users need to invest time to determine whether to reuse them. Providing diagrams together with the ontologies facilitates the task of understanding the model from a user perspective. While some tools are available for depicting ontologies, and the code could also be inspected using ontology editors’ graphical interfaces, in many cases, the diagrams are too big or complex. The main objective of this demo is to present Devos, a system to generate ontology diagrams based on different strategies for summarizing the ontology.",2023,2023-04-30,"2691947,2056266963,70053552,1403446235","Ahmad Alobaid,Jhon Toledo,Óscar Corcho,M. Poveda-Villalón"
2ca14fe14f0bd2f1363f3b735e788d12c3f9f332,"Comparison between Expert Systems, Machine Learning, and Big Data: An Overview","Today, the science of artificial intelligence has become one of the most important sciences in creating intelligent computer programs that simulate the human mind. The goal of artificial intelligence in the medical field is to assist doctors and health care workers in diagnosing diseases and clinical treatment, reducing the rate of medical error, and saving lives of citizens. The main and widely used technologies are expert systems, machine learning and big data. In the article, a brief overview of the three mentioned techniques will be provided to make it easier for readers to understand these techniques and their importance.",2022,2022-03-01,"1394846990,2149322954,21366673,2061630849,2156915219","Maad M. Mijwil,Dhamyaa Salim Mutar,Y. Filali,Karan Aggarwal,Humam Al-Shahwani"
3a070f7534119762099e7f3b373c54bdeddddd36,A SAREF Extension for Semantic Interoperability in the Industry and Manufacturing Domain,,2018,2018-10-26,"1795459,69903156,50788142,47922982,2075047311,2107272840","L. Daniele,M. Punter,C. Brewster,Raúl García Castro,María Poveda,A. Fernandez"
3f71378310cccfe42951940a868c4dfa96f91bb9,"Polypharmacy and drug-drug interactions in HIV-infected subjects in the region of Madrid, Spain: a population-based study.","BACKGROUND
Drug-drug interactions (DDIs) involving antiretrovirals (ARVs) tend to cause harm if unrecognized, especially in the context of multiple co-morbidity and polypharmacy.


METHODS
A database linkage was established between the regional drug dispensing registry of Madrid and the Liverpool HIV DDI database (January-June 2017). Polypharmacy was defined as the use of ≥5 non-HIV medications, and DDIs were classified by a traffic-light ranking for severity. HIV-uninfected controls were also included.


RESULTS
A total of 22,945 patients living with HIV (PLWH) and 6,613,506 uninfected individuals had received medications. Antiretroviral therapy regimens were predominantly based on integrase inhibitors (51.96%). Polypharmacy was significantly higher in PLWH (32.94%) than uninfected individuals (22.16%; P<0.001), and this difference was consistently observed across all age strata except for individuals aged ≥75 years. Polypharmacy was more common in women than men in both PLWH and uninfected individuals. The prevalence of contraindicated combinations involving ARVs was 3.18%. Comedications containing corticosteroids, quetiapine, or antithrombotic agents were associated with the highest risk for red-flag DDI, and the use of raltegravir or dolutegravir-based antiretroviral therapy was associated with an adjusted odds ratio of 0.72 (95% confidence interval: 0.60 - 0.88; P=0.001) for red-flag DDI.


CONCLUSIONS
Polypharmacy was more frequent among PLWH across all age groups except those aged ≥75 years and was more common in women. The persistent detection of contraindicated medications in patients receiving ARVs suggests a likely disconnect between hospital and community prescriptions. Switching to alternative unboosted integrase regimens should be considered for patients with high risk of harm from DDIs.",2020,2020-07-11,"1413811042,1413809069,1742274491,82831565,4627386,4795019,7862074,1401579579,46822107,4532955,1413810436,145564963,1417618813,144489853","B. López-Centeno,Carlos Badenes-Olmedo,Á. Mataix-Sanjuan,K. McAllister,J. Bellón,S. Gibbons,P. Balsalobre,L. Pérez-Latorre,J. Benedí,C. Marzolini,Ainhoa Aranguren-Oyarzábal,S. Khoo,M. J. Calvo-Alcántara,J. Berenguer"
47e618a27c3d43318038c71f8928c630b1be1a73,Data Quality Barriers for Transparency in Public Procurement,"Governments need to be accountable and transparent for their public spending decisions in order to prevent losses through fraud and corruption as well as to build healthy and sustainable economies. Open data act as a major instrument in this respect by enabling public administrations, service providers, data journalists, transparency activists, and regular citizens to identify fraud or uncompetitive markets through connecting related, heterogeneous, and originally unconnected data sources. To this end, in this article, we present our experience in the case of Slovenia, where we successfully applied a number of anomaly detection techniques over a set of open disparate data sets integrated into a Knowledge Graph, including procurement, company, and spending data, through a linked data-based platform called TheyBuyForYou. We then report a set of guidelines for publishing high quality procurement data for better procurement analytics, since our experience has shown us that there are significant shortcomings in the quality of data being published. This article contributes to enhanced policy making by guiding public administrations at local, regional, and national levels on how to improve the way they publish and use procurement-related data; developing technologies and solutions that buyers in the public and private sectors can use and adapt to become more transparent, make markets more competitive, and reduce waste and fraud; and providing a Knowledge Graph, which is a data resource that is designed to facilitate integration across multiple data silos by showing how it adds context and domain knowledge to machine-learning-based procurement analytics.",2022,2022-02-20,"153750193,70053552,3170752,2134990618,2155715210,101029936,2007932882,2155714185,52208399,31951006,2927032,143759957,66215591","A. Soylu,Óscar Corcho,B. Elvesæter,Carlos Badenes-Olmedo,Francisco Yedro-Martínez,Matej Kovacic,Matej Posinkovic,Mitja Medvešček,Ian Makgill,C. Taggart,E. Simperl,T. C. Lech,D. Roman"
4f2133f97f0563f17bb24ce9ab128acfa58537e4,Challenges for FAIR Digital Object Assessment,"A Digital Object (DO) ""is a sequence of bits, incorporating a work or portion of a work or other information in which a party has rights or interests, or in which there is value"". DOs should have persistent identifiers, meta-data and be readable by both humans and machines. A FAIR Digital Object is a DO able to interact with automated data processing systems (De Smedt et al. 2020) while following the FAIR (Findable, Accessible, Interoperable and Reusable principles) principles (Wilkinson et al. 2016).
 Although FAIR was originally targeted towards data artifacts, new initiatives have emerged to adapt other research digital resources such as software (Katz et al. 2021) (Lamprecht et al. 2020), ontologies (Poveda-Villalón et al. 2020), virtual research environments and even DOs (Collins et al. 2018). In this paper, we describe the challenges when assessing the level of compliance of a DO with the FAIR principles (i.e., its FAIRness), assuming that a DO contains multiple resources and captures their relationships. We explore different methods to calculate an evaluation score, and we discuss the challeneges and importance of providing explanations and guidelines for authors.
 
 FAIR assessment tools 
 
 There are a growing number of tools used to assess the FAIRness of DOs. Community groups like FAIRassist.org have compiled lists of guidelines and tools for assessing the FAIRness of digital resources. These range from self assessment tools like questionnaires and checklists to semi-automated validators (Devaraju et al. 2021). Examples of automated validation tools include the F-UJI Automated FAIR Data Assessment Tool (Devaraju and Huber 2020), FAIR Evaluator and FAIR Checker for datasets or individual DOs; HowFairIs (Spaaks et al. 2021) for code repositories; and and FOOPS (Garijo et al. 2021) to assess ontologies.
 When it comes to assessing FDOs, we find two main challenges:
 
 
 
 Resource score discrepancy: Different FAIR assessment tools for the same type of resource produce different scores. For example, a recent study over datasets showcases differences in scores for the same resource due to how the FAIR principles are interpreted by different authors (Dumontier 2022).
 
 
 Heterogeneous FDO metadata: Validators include tests that explore metadata of the digital object. However, there is no agreed metadata schema to represent FDO metadata, which complicates this operation. In addition, metadata may be specific to a certain domain (De Smedt et al. 2020). To address this challenge, we need i) to agree on minimum common set of metadata to measure the FAIRness of DOs and ii) propose a framework to describe extensions for specialized digital objects (datasets, software, ontologies, VRE, etc.).
 
 
 
 Resource score discrepancy: Different FAIR assessment tools for the same type of resource produce different scores. For example, a recent study over datasets showcases differences in scores for the same resource due to how the FAIR principles are interpreted by different authors (Dumontier 2022).
 Heterogeneous FDO metadata: Validators include tests that explore metadata of the digital object. However, there is no agreed metadata schema to represent FDO metadata, which complicates this operation. In addition, metadata may be specific to a certain domain (De Smedt et al. 2020). To address this challenge, we need i) to agree on minimum common set of metadata to measure the FAIRness of DOs and ii) propose a framework to describe extensions for specialized digital objects (datasets, software, ontologies, VRE, etc.).
 In (Wilkinson et al. 2019), the authors propose a community-driven framework to assess the FAIRness of individual digital objects. This framework is based on:
 
 
 
 a collection of maturity indicators,
 
 
 principle compliance tests, and
 
 
 a module to apply those tests to digital resources.
 
 
 
 a collection of maturity indicators,
 principle compliance tests, and
 a module to apply those tests to digital resources.
 The proposed indicators may be a starting point to define which tests are needed for each type of resource (de Miranda Azevedo and Dumontier 2020).
 
 Aggregation of FAIR metrics
 
 Another challenge is the best way to produce an assessment score for a FDO, independently of the tests that are run to assess it. For example, each of the four dimensions of FAIR (Findable, Accessible, Interoperable and Reusable) usually have a different number of associated assessment tests. If the final score is presented based on the number of tests, then by default some dimensions may have more importance than others. Similarly, not all tests may have the same importance for some specific resources (e.g., in some cases having a license in a resource may be considered more important than having its full documentation).
 In our work we consider a FDO as an aggregation of resources, and therefore we face the additional challenge of creating an aggregated FAIRness score for the whole FDO. We consider the following aggregation scores:
 
 
 
 Global score: calculated by formula (see Fig. 1-1). It represents the percentage of total passed tests. It doesn’t take into account the principle to which a test belongs.
 
 
 FAIR average score: calculated by formula (see Fig. 1- 2). It represents the average of the passed tests ratios for each principle plus the ratio of passed tests used to evaluate the Research Object itself.
 
 
 
 Global score: calculated by formula (see Fig. 1-1). It represents the percentage of total passed tests. It doesn’t take into account the principle to which a test belongs.
 FAIR average score: calculated by formula (see Fig. 1- 2). It represents the average of the passed tests ratios for each principle plus the ratio of passed tests used to evaluate the Research Object itself.
 Both metrics are agnostic to the kind of resource analyzed. The score they produce ranges from [0 - 100].
 
 Discussion
 
 A FDO has metadata records that describe it. Some records are common for all DOs, and others are specific to a DO. This makes it difficult to assess some FAIR principles like ""F2: ""data are described with rich metadata"". Therefore, we believe a discussion of a minimal set of FAIR metadata should be addressed by the community.
 In addition, a FAIR assessment score can change significantly depending on the formula used for aggregating all metrics. Therefore, it is key to explain to users the method and provenance used to produce such score. Different communities should agree on the best scoring mechanism for their FDOs, e.g., by adding a weight to each principle and figuring out the right number of tests for each principle, which may give more importance to the principles with tests.
 We believe that the objective of a FAIR scoring system should not be to produce a ranking, but become a mechanism to improve the FAIRness of a FDO.",2022,2022-10-12,"2112433218,1398926410,70053552","E. González,D. Garijo,Óscar Corcho"
680c921c39e0d238777fa604e7921ba8e5b3c372,SPARQL2Flink: Evaluation of SPARQL Queries on Apache Flink,"Existing SPARQL query engines and triple stores are continuously improved to handle more massive datasets. Several approaches have been developed in this context proposing the storage and querying of RDF data in a distributed fashion, mainly using the MapReduce Programming Model and Hadoop-based ecosystems. New trends in Big Data technologies have also emerged (e.g., Apache Spark, Apache Flink); they use distributed in-memory processing and promise to deliver higher data processing performance. In this paper, we present a formal interpretation of some PACT transformations implemented in the Apache Flink DataSet API. We use this formalization to provide a mapping to translate a SPARQL query to a Flink program. The mapping was implemented in a prototype used to determine the correctness and performance of the solution. The source code of the project is available in Github under the MIT license.",2021,2021-07-30,"2132710614,2132711925,1853590,2135942475,70053552","Oscar Ceballos,Carlos Alberto Ramírez Restrepo,M. Pabón,Andres M. Castillo,Óscar Corcho"
68675db08311f1dbef1138d74d338a667aad2e24,Less Lipoatrophy and Better Lipid Profile With Abacavir as Compared to Stavudine: 96-Week Results of a Randomized Study,"Objective:To assess lipoatrophy, other toxicities, and efficacy associated with abacavir as compared with stavudine in HIV-infected antiretroviral-naive patients. Methods:This was a prospective, randomized, open trial, stratified by viral load and CD4 cell count, conducted January 2001 to July 2004. Two hundred thirty-seven adult patients with HIV infection initiating antiretroviral therapy were assigned to receive abacavir (n = 115) or stavudine (n = 122), both combined with lamivudine and efavirenz. The primary endpoint was the proportion of patients with lipoatrophy as assessed by physician and patient observation at 96 weeks. Results:A lower proportion of patients assigned to abacavir developed clinical signs of lipoatrophy (4.8% vs. 38.3%; P < 0.001). These observations were confirmed by anthropometric data. Dual energy x-ray absorptiometry (DEXA) scans performed in 57 patients showed significantly greater total limb fat loss in the stavudine arm (−1579 vs. 913 g; P < 0.001). The lipid profile in abacavir patients presented more favorable changes in the levels of triglycerides (P = 0.03), high-density lipoprotein cholesterol (HDLc; P < 0.001), and apolipoprotein A1 (P < 0.001) as well as in the ratio between total cholesterol and HDLc (P = 0.005). Throughout the study, a higher proportion of patients in the stavudine group received lipid-lowering agents as compared to the abacavir group (17% vs. 4%; P = 0.002). Similar virologic and immunologic responses were observed. Conclusions:Assuming the limitations inherent to clinical assessment, this study shows a notably weaker association of abacavir with lipoatrophy than stavudine. DEXA scans and anthropometric measurements supported the clinical findings. In addition, the lipid changes that occurred were more favorable in patients receiving abacavir.",2007,2007-02-01,"4538630,39058283,153283271,11423701,144353441,13145067,3718341,144189316,5062063,5727965,145804103,2434187,39087234,87777369,152174325,1413932406,2055962679,143699494,51996599,144489853,15193629,46615427,13354363,144550587,119911607","D. Podzamczer,E. Ferrer,P. Sanchez,J. Gatell,M. Crespo,C. Fisac,M. Loncá,J. Sanz,J. Niubó,S. Veloso,J. Llibre,P. Barrufet,M. A. Ribas,E. Merino,E. Ribera,J. Martínez-Lacasa,C. Alonso,M. Aranda,F. Pulido,J. Berenguer,A. Delegido,J. D. Pedreira,A. Lérida,R. Rubio,L. D. Rio"
6d702da5dea94d0b0a9302ae579ce995357dd960,An ontological approach for representing declarative mapping languages,"Knowledge Graphs are currently created using an assortment of techniques and tools: ad hoc code in a programming language, database export scripts, OpenRefine transformations, mapping languages, etc. Focusing on the latter, the wide variety of use cases, data peculiarities, and potential uses has had a substantial impact in how mappings have been created, extended, and applied. As a result, a large number of languages and their associated tools have been created. In this paper, we present the Conceptual Mapping ontology, that is designed to represent the features and characteristics of existing declarative mapping languages to construct Knowledge Graphs. This ontology is built upon the requirements extracted from experts experience, a thorough analysis of the features and capabilities of current mapping languages presented as a comparative framework; and the languages’ limitations discussed by the community and denoted as Mapping Challenges. The ontology is evaluated to ensure that it meets these requirements and has no inconsistencies, pitfalls or modelling errors, and is publicly available online along with its documentation and related resources.",2022,2022-12-29,"1485497099,3413290,1792630,1404333852,1398854351,70053552","Ana Iglesias-Molina,Andrea Cimmino,E. Ruckhaus,David Chaves-Fraga,R. García-Castro,Óscar Corcho"
7737b2f4f956e2517087a4be04cd9e1af70961ea,Large-scale semantic exploration of scientific literature using topic-based hashing algorithms,"Searching for similar documents and exploring major themes covered across groups of documents are common activities when browsing collections of scientific papers. This manual knowledge-intensive task can become less tedious and even lead to unexpected relevant findings if unsupervised algorithms are applied to help researchers. Most text mining algorithms represent documents in a common feature space that abstract them away from the specific sequence of words used in them. Probabilistic Topic Models reduce that feature space by annotating documents with thematic information. Over this low-dimensional latent space some locality-sensitive hashing algorithms have been proposed to perform document similarity search. However, thematic information gets hidden behind hash codes, preventing thematic exploration and limiting the explanatory capability of topics to justify content-based similarities. This paper presents a novel hashing algorithm based on approximate nearest-neighbor techniques that uses hierarchical sets of topics as hash codes. It not only performs efficient similarity searches, but also allows extending those queries with thematic restrictions explaining the similarity score from the most relevant topics. Extensive evaluations on both scientific and industrial text datasets validate the proposed algorithm in terms of accuracy and efficiency.",2020,,"1413809069,1403988745,70053552","Carlos Badenes-Olmedo,J. Redondo-García,Óscar Corcho"
