author,publications
Ahmad Alobaid,1
Jhon Toledo,2
Óscar Corcho,18
M. Poveda-Villalón,2
Maad M. Mijwil,1
Dhamyaa Salim Mutar,1
Y. Filali,1
Karan Aggarwal,1
Humam Al-Shahwani,1
L. Daniele,1
M. Punter,1
C. Brewster,1
Raúl García Castro,1
María Poveda,1
A. Fernandez,1
B. López-Centeno,2
Carlos Badenes-Olmedo,11
Á. Mataix-Sanjuan,2
K. McAllister,1
J. Bellón,2
S. Gibbons,1
P. Balsalobre,1
L. Pérez-Latorre,2
J. Benedí,2
C. Marzolini,2
Ainhoa Aranguren-Oyarzábal,1
S. Khoo,2
M. J. Calvo-Alcántara,2
J. Berenguer,3
A. Soylu,2
B. Elvesæter,2
Francisco Yedro-Martínez,1
Matej Kovacic,2
Matej Posinkovic,2
Mitja Medvešček,1
Ian Makgill,2
C. Taggart,2
E. Simperl,2
T. C. Lech,2
D. Roman,2
E. González,1
D. Garijo,2
Oscar Ceballos,1
Carlos Alberto Ramírez Restrepo,1
M. Pabón,1
Andres M. Castillo,1
D. Podzamczer,1
E. Ferrer,1
P. Sanchez,1
J. Gatell,1
M. Crespo,1
C. Fisac,1
M. Loncá,1
J. Sanz,1
J. Niubó,1
S. Veloso,1
J. Llibre,1
P. Barrufet,1
M. A. Ribas,1
E. Merino,1
E. Ribera,1
J. Martínez-Lacasa,1
C. Alonso,1
M. Aranda,1
F. Pulido,1
A. Delegido,1
J. D. Pedreira,1
A. Lérida,1
R. Rubio,1
L. D. Rio,1
Ana Iglesias-Molina,2
Andrea Cimmino,1
E. Ruckhaus,1
David Chaves-Fraga,3
R. García-Castro,3
J. Redondo-García,1
Borja Lozano-Álvarez,1
Julián Arenas-Guerrero,1
Mingxue Wang,1
Hu Peng,1
Nicholas Burrett,1
José Mora,2
Puchao Zhang,1
Álvaro Alonso,1
A. Gray,1
J. Sadler,1
O. Kit,1
K. Kyzirakos,1
M. Karpathiotakis,1
Jean-Paul Calbimonte,2
Kevin R. Page,1
A. Frazer,1
I. Galpin,1
A. Fernandes,1
N. Paton,1
Manolis Koubarakis,1
D. D. Roure,1
K. Martinez,1
A. Gómez-Pérez,1
José Luis Redondo García,1
Tom Blount,1
Francisco Yedro Martínez,1
Hoyoung Jeung,1
K. Aberer,1
J. C. López,1
Andrea 'Alvarez P'erez,1
Luc'ia Prieto Santamar'ia,1
Mar'ia Poveda-Villal'on,1
Alejandro Rodr'iguez-Gonz'alez,1
Freddy Priyatna,1
Juan Sequeda,1
G. Atemezing,1
Pablo Rozas,1
Daniel Vila-Suero,1
B. Villazón-Terrazas,1
Marlene Goncalves,1
